,title,director,writers,top_5_billed,rotten_tomato_rating,audience_rating
46,Fantastic Beasts: The Crimes of Grindelwald,['David Yates (II)'],['J.K. Rowling'],"['Johnny Depp ', 'Kevin Guthrie ', 'Carmen Ejogo ', 'Wolf Roth ', 'Eddie Redmayne ']",36,54
47,Terminator Salvation,['McG'],"['John Brancato', ' Michael Ferris', ' McG']","['Christian Bale ', 'Sam Worthington ', 'Anton Yelchin ', 'Moon Bloodgood ', 'Helena Bonham Carter ']",33,54
48,Green Lantern,['Martin Campbell'],"['Marc Guggenheim', ' Michael Green', ' Michael Goldenberg', ' Martin Campbell', ' Greg Berlanti']","['Ryan Reynolds ', 'Blake Lively ', 'Peter Sarsgaard ', 'Mark Strong (II) ', 'Tim Robbins ']",26,45
49,Prince of Persia: Sands of Time,['Mike Newell'],"['Carlo Bernard', ' Mike Newell', ' Boaz Yakin', ' Doug Miro']","['Jake Gyllenhaal ', 'Gemma Arterton ', 'Ben Kingsley ', 'Alfred Molina ', 'Steve Toussaint ']",37,58
50,Dark Phoenix,['Simon Kinberg'],['Simon Kinberg'],"['James McAvoy ', 'Michael Fassbender ', 'Jennifer Lawrence ', 'Nicholas Hoult ', 'Sophie Turner ']",23,64
51,Mulan,"['Barry Cook', ' Tony Bancroft']","['Rita Hsiao', ' Chris Sanders', ' Philip LaZebnik', ' Raymond Singer', ' Eugenia Bostwick-Singer']","['Ming-Na Wen ', 'Eddie Murphy ', 'Lea Salonga ', 'B.D. Wong ', 'George TakeiDonny Osmond ']",86,85
52,Transformers: Dark of the Moon,['Michael Bay'],['Ehren Kruger'],"['Shia LaBeouf ', 'Josh Duhamel ', 'John Turturro ', 'Tyrese Gibson ', 'Rosie Huntington-Whiteley ']",35,55
53,Jack the Giant Slayer,['Bryan Singer'],"['Dan Studney', ' Darren Lemke', ' Christopher McQuarrie']","['Nicholas Hoult ', 'Eleanor Tomlinson ', 'Stanley Tucci ', 'Ewan McGregor ', 'Ian McShane ']",52,55
54,Furious 7,['James Wan'],"['Chris Morgan', ' James Wan', ' Gary Scott Thompson']","['Vin Diesel ', 'Paul Walker ', 'Jason Statham ', 'Dwayne Johnson ', 'Tony Jaa ']",82,82
55,Star Trek Into Darkness,['J.J. Abrams'],"['Damon Lindelof', ' Alex Kurtzman', ' Roberto Orci']","['Chris Pine ', 'Zachary Quinto ', 'Zoe Saldana ', 'Karl Urban ', 'Simon Pegg ']",84,89
56,World War Z,['Marc Forster'],"['Matthew Michael Carnahan', ' J. Michael Straczynski', ' Damon Lindelof', ' Drew Goddard']","['Brad Pitt ', 'Mireille Enos ', 'James Badge Dale ', 'Daniella Kertesz ', 'Ludi Boeken ']",66,72
57,The Good Dinosaur,['Peter Sohn'],['Meg LeFauve'],"['Frances McDormand ', 'A.J. Buckley ', 'Anna Paquin ', 'Sam Elliott ', 'Alan TudykMarcus Scribner ']",76,65
58,Iron Man,"['Written By:Matthew Hollaway', ' Mark Fergus', ' Hawk Ostby', ' Art Marcum', ' Matt Holloway']","['In Theaters:Apr 14', ' 2008\xa0wide']","['Robert Downey Jr. ', 'Terrence Howard ', 'Jeff Bridges ', 'Gwyneth Paltrow ', 'Leslie Bibb ']",94,91
59,The Dark Knight,['Christopher Nolan'],"['Christopher Nolan', ' Jonathan Nolan']","['Christian Bale ', 'Heath Ledger ', 'Aaron Eckhart ', 'Maggie Gyllenhaal ', 'Gary Oldman ']",94,94
60,Indiana Jones and the Kingdom of the Crystal Skull,['Steven Spielberg'],['David Koepp'],"['Harrison Ford ', 'Shia LaBeouf ', 'Cate Blanchett ', 'Karen Allen ', 'John Hurt ']",78,54
61,Kong: Skull Island,['Jordan Vogt-Roberts'],"['Dan Gilroy', ' Max Borenstein', ' Derek Connolly']","['Tom Hiddleston ', 'Samuel L. Jackson ', 'John Goodman ', 'Brie Larson ', 'John C. Reilly ']",75,69
62,Star Trek Beyond,['Justin Lin'],"['Simon Pegg', ' Doug Jung', ' Gene Roddenberry', ' Roberto Orci']","['Chris Pine ', 'Zachary Quinto ', 'Anton Yelchin ', 'John Cho ', 'Simon Pegg ']",86,80
63,Maleficent: Mistress of Evil,['Joachim Rønning'],"['Linda Woolverton', ' Micah Fitzerman-Blue', ' Noah Harpster', ' Charles Perrault']","['Angelina Jolie ', 'Elle Fanning ', 'Michelle Pfeiffer ', 'Sam Riley ', 'Imelda Staunton ']",40,95
64,Blade Runner 2049,['Denis Villeneuve'],"['Michael Green', ' Hampton Fancher']","['Ryan Gosling ', 'Harrison Ford ', 'Ana de Armas ', 'Sylvia Hoeks ', 'Robin Wright ']",88,81
65,Terminator: Dark Fate,['Written By:Justin B. Rhodes'],"['In Theaters:Nov 1', ' 2019\xa0wide']","['Linda Hamilton ', 'Aaron KunitzArnold Schwarzenegger ', 'Georgia SimonMackenzie Davis ', 'Natalia Reyes ', 'Gabriel Luna ']",70,82
66,Aladdin,['Guy Ritchie'],"['John August', ' Guy Ritchie']","['Will Smith ', 'Mena Massoud ', 'Naomi Scott ', 'Marwan Kenzari ', 'Billy Magnussen ']",57,94
67,Thor: Ragnarok,['Taika Waititi'],['Eric Pearson'],"['Chris Hemsworth ', 'Tom Hiddleston ', 'Mark Ruffalo ', 'Cate Blanchett ', 'Anthony Hopkins ']",93,87
68,Maleficent,['Robert Stromberg'],['Linda Woolverton'],"['Angelina Jolie ', 'Sharlto Copley ', 'Elle Fanning ', 'Brenton Thwaites ', 'Imelda Staunton ']",53,70
69,Fantastic Beasts and Where to Find Them,['David Yates (II)'],"['J.K. Rowling', ' J.K. Rowling']","['Eddie Redmayne ', 'Katherine Waterston ', '', '', 'Jacob']",74,79
70,WALL-E,['Andrew Stanton'],"['Jim Reardon', ' Andrew Stanton']","['Ben Burtt ', 'Elissa Knight ', 'Jeff Garlin ', 'Fred Willard ', 'John Ratzenberger ']",95,90
71,Rush Hour 3,['Brett Ratner'],"['Brett Ratner', ' Jeff Nathanson', ' Ross LaManna']","['Jackie Chan ', 'Chris Tucker ', 'Max von Sydow ', 'Noémie Lenoir ', 'Dana Ivey ']",18,63
72,The Legend of Tarzan,['David Yates (II)'],"['Adam Cozad', ' Craig Brewer']","['Alexander Skarsgård ', 'Margot Robbie ', 'Samuel L. Jackson ', 'Christoph Waltz ', 'Djimon Hounsou ']",36,58
73,Hugo,['Martin Scorsese'],['John Logan'],"['Ben Kingsley ', 'Sacha Baron Cohen ', 'Asa Butterfield ', 'Chloë Grace Moretz', 'Ray Winstone ']",93,78
74,Valerian and the City of a Thousand Planets,['Luc Besson'],['Luc Besson'],"['Dane DeHaan ', 'Cara Delevingne ', 'Clive Owen ', 'Rihanna ', 'Ethan Hawke ']",48,53
75,Jupiter Ascending,"['Lana Wachowski', ' Lilly Wachowski']","['Lana Wachowski', ' Lilly Wachowski']","['Mila Kunis ', 'Channing Tatum ', '', '', '']",27,38
76,X-Men: Apocalypse,"['In Theaters:May 27', ' 2016\xa0wide']","['On Disc/Streaming:Oct 4', ' 2016']","['Oscar Isaac ', 'Lana Condor ', 'Ben Hardy ', 'Abdulla Hamam ', 'Hesham Hammoud ']",47,65
77,The Meg,['Jon Turteltaub'],"['Dean Georgaris', ' Jon Hoeber', ' Erich Hoeber']","['Jason Statham ', 'Bingbing Li ', 'Winston Chao ', 'Rainn Wilson ', 'Ruby Rose ']",46,42
78,Edge of Tomorrow,['Doug Liman'],"['Dante Harper', ' Joby Harold', ' Christopher McQuarrie', ' Jez Butterworth', ' John-Henry Butterworth']","['Tom Cruise ', 'Emily Blunt ', 'Bill Paxton ', 'Jonas Armstrong ', 'Tony Way ']",91,90
79,Captain Marvel,"['Anna Boden', ' Ryan Fleck']","['Anna Boden', ' Ryan Fleck', ' Geneva Robertson-Dworet']","['Brie Larson ', 'Samuel L. Jackson ', 'Ben Mendelsohn ', 'Djimon Hounsou ', 'Lee Pace ']",78,48
