_id,title,rotten_tomato_rating,audience_rating,director,writers,top_5_billed
5f18515eeec2a42d5d9cceda,Frozen II,77%,92%,"['Jennifer Lee', ' Chris Buck']",['Jennifer Lee'],"['Kristen Bell ', 'Idina Menzel ', 'Josh Gad ', 'Sterling K. Brown ', 'Evan Rachel Wood ']"
5f185169eec2a42d5d9ccedb,Wonder Woman,82%,78%,['Lauren Montgomery'],['Michael Jelenic'],"['Keri Russell ', 'Nathan Fillion ', 'Alfred Molina ', 'Rosario Dawson ', 'Virginia Madsen ']"
5f185177eec2a42d5d9ccedc,Frozen,56%,57%,"['Xiaoshuai Wang', ' Wu Ming']","['Xiaoshuai Wang', ' Ming Pang']","['Jia Hongshen ', 'Ma Ziaoquing ', 'Xiaoqing MaYu BaiGeng LiYefu BaiYongning ZhangQu LixinJie LiuView All ']"
5f185186eec2a42d5d9ccedd,Zootopia,98%,92%,"['Byron Howard', ' Rich Moore', ' Jared Bush']","['Jared Bush', ' Phil Johnston']","['Ginnifer Goodwin ', 'Jason Bateman ', 'Idris Elba ', 'Jenny Slate ', 'Nate Torrence ']"
5f185193eec2a42d5d9ccede,Harry Potter and the Order of the Phoenix,78%,81%,['David Yates (II)'],['Michael Goldenberg'],"['Daniel Radcliffe ', 'Rupert Grint ', 'Emma Watson ', 'Michael Gambon ', 'Ralph Fiennes ']"
5f18519feec2a42d5d9ccedf,Harry Potter and the Goblet of Fire,88%,74%,['Mike Newell'],['Steve Kloves'],"['Daniel Radcliffe ', 'Rupert Grint ', 'Emma Watson ', 'Robbie Coltrane ', 'Ralph Fiennes ']"
5f1851aaeec2a42d5d9ccee0,The Matrix Reloaded,73%,72%,"['Lana Wachowski', ' Lilly Wachowski']","['Lilly Wachowski', ' Lana Wachowski']","['Keanu Reeves ', 'Laurence Fishburne ', 'Carrie-Anne Moss ', 'Hugo Weaving ', 'Monica Bellucci ']"
5f1851b5eec2a42d5d9ccee1,I am Legend,68%,68%,['Francis Lawrence'],"['Mark Protosevich', ' Tracy Torme', ' John Logan', ' Akiva Goldsman']","['Will Smith ', 'Alice Braga ', 'Salli Richardson-Whitfield ', 'Charlie Tahan ', 'Willow Smith ']"
5f1851c7eec2a42d5d9ccee2,Hancock,41%,59%,['Peter Berg'],"['Vince Gilligan', ' Vy Vincent Ngo']","['Will Smith ', 'Charlize Theron ', 'Jason Bateman ', 'Eddie Marsan ', 'Johnny Galecki ']"
5f1851d1eec2a42d5d9ccee3,Charlie and the Chocolate Factory,83%,51%,['Tim Burton'],"['Roald Dahl', ' John August']","['Johnny Depp ', 'Freddie Highmore ', 'David Kelly ', 'Helena Bonham Carter ', 'Noah Taylor ']"
5f1851d6eec2a42d5d9ccee4,Ratatouille,96%,87%,"['Jan Pinkava', ' Brad Bird']",['Brad Bird'],"['Patton Oswalt ', 'Brad Garrett ', 'Ian Holm ', 'Lou Romano ', 'Brian Dennehy ']"
5f1851deeec2a42d5d9ccee5,Thor: The Dark World,66%,76%,['Alan Taylor'],"['Stephen McFeely', ' Christopher Yost', ' Christopher Markus']","['Chris Hemsworth ', 'Natalie Portman ', 'Tom Hiddleston ', 'Stellan Skarsgård ', 'Idris Elba ']"
5f1851e6eec2a42d5d9ccee6,Batman Begins,84%,94%,['Christopher Nolan'],"['Christopher Nolan', ' David S. Goyer']","['Christian Bale ', 'Michael Caine ', 'Liam Neeson ', 'Katie Holmes ', 'Gary Oldman ']"
5f185205eec2a42d5d9ccee7,Thor,77%,76%,['Kenneth Branagh'],"['Ashley Edward Miller', ' Mark Protosevich', ' Don Payne', ' Kenneth Branagh', ' Zack Stentz']","['Chris Hemsworth ', 'Natalie Portman ', 'Anthony Hopkins ', 'Tom Hiddleston ', 'Stellan Skarsgård ']"
5f185211eec2a42d5d9ccee8,Madagascar: Escape 2 Africa,64%,66%,"['Tom McGrath', ' Eric Darnell']","['Etan Cohen', ' Eric Darnell', ' Tom McGrath']","['Ben Stiller ', 'Chris Rock ', 'David Schwimmer ', 'Jada Pinkett Smith ', 'Sacha Baron Cohen ']"
5f18521ceec2a42d5d9ccee9,Mad Max: Fury Road,97%,85%,['George Miller'],"['Brendan McCarthy', ' Nick Lathouris', ' George Miller']","['Tom Hardy ', 'Charlize Theron ', 'Nicholas Hoult ', 'Rosie Huntington-Whiteley ', 'Zoë Kravitz ']"
5f18522ceec2a42d5d9cceea,The Matrix Revolutions,35%,60%,"['Lana Wachowski', ' Lilly Wachowski']","['Lana Wachowski', ' Lilly Wachowski']","['Keanu Reeves ', 'Laurence Fishburne ', 'Carrie-Anne Moss ', 'Nona Gaye ', 'Clayton Watson ']"
5f18523ceec2a42d5d9cceeb,Ready Player One,72%,77%,['Steven Spielberg'],"['Zak Penn', ' Ernest Cline']","['Tye Sheridan ', 'Olivia Cooke ', 'Ben Mendelsohn ', 'Simon Pegg ', 'T.J. MillerHannah John-Kamen ']"
5f185248eec2a42d5d9cceec,Chicken Little,37%,47%,['Mark Dindal'],"['Steve Bencich', ' Ron J. Friedman', ' Ron Anderson']","['Zach Braff ', 'Garry Marshall ', 'Patrick Stewart ', 'Joan Cusack ', 'Amy Sedaris ']"
5f185257eec2a42d5d9cceed,Troy,54%,73%,['Wolfgang Petersen'],"['Wolfgang Petersen', ' David Benioff']","['Brad Pitt ', 'Eric Bana ', '', 'Paris', 'Helena, ']"
5f18525deec2a42d5d9cceee,Bee Movie,50%,53%,"['Simon Smith', ' Simon J. Smith', ' Steve Hickner', ' Stephen Hickner']","['Spike Feresten', ' Jerry Seinfeld', ' Barry Marder', ' Andy Robin', ' Chuck Martin', ' Tom Papa']","['Jerry Seinfeld ', 'Renée Zellweger ', 'Matthew Broderick ', 'Patrick Warburton ', 'John Goodman ']"
5f185266eec2a42d5d9cceef,Bolt,89%,74%,"['Byron Howard', ' Chris Williams (IX) ']","['Chris Williams (IX) ', ' Dan Fogelman']","['John Travolta ', 'Malcolm McDowell ', 'Mark Walton ', 'Miley Cyrus ', 'Susie Essman ']"
5f18527beec2a42d5d9ccef0,Beowulf,71%,50%,['Robert Zemeckis'],"['Neil Gaiman', ' Roger Avary']","['Ray Winstone ', 'Anthony Hopkins ', 'John Malkovich ', 'Robin Wright ', 'Angelina Jolie ']"
